U+0869  ,ࡩ  ,SYRIAC LETTER MALAYALAM LLLA
U+086A  ,ࡪ  ,SYRIAC LETTER MALAYALAM SSA

U+08BE  ,ࢾ  ,ARABIC LETTER PEH WITH SMALL V
U+08BF  ,ࢿ  ,ARABIC LETTER TEH WITH SMALL V
U+08C0  ,ࣀ  ,ARABIC LETTER TTEH WITH SMALL V
U+08C1  ,ࣁ  ,ARABIC LETTER TCHEH WITH SMALL V
U+08C2  ,ࣂ  ,ARABIC LETTER KEHEH WITH SMALL V
U+08C3  ,ࣃ  ,ARABIC LETTER GHAIN WITH THREE DOTS ABOVE
U+08C4  ,ࣄ  ,ARABIC LETTER AFRICAN QAF WITH THREE DOTS ABOVE
U+08C5  ,ࣅ  ,ARABIC LETTER JEEM WITH THREE DOTS ABOVE
U+08C6  ,ࣆ  ,ARABIC LETTER JEEM WITH THREE DOTS BELOW
U+08C7  ,ࣇ  ,ARABIC LETTER LAM WITH SMALL ARABIC LETTER TAH ABOVE
U+08D3  ,࣓  ,ARABIC SMALL LOW WAW

U+0D81  ,ඁ  ,SINHALA SIGN CANDRABINDU

U+0E89  ,ຉ  ,LAO LETTER PALI CHA
U+0E8C  ,ຌ  ,LAO LETTER PALI JHA
U+0E8E  ,ຎ  ,LAO LETTER PALI NYA
U+0E8F  ,ຏ  ,LAO LETTER PALI TTA
U+0E90  ,ຐ  ,LAO LETTER PALI TTHA
U+0E91  ,ຑ  ,LAO LETTER PALI DDA
U+0E92  ,ຒ  ,LAO LETTER PALI DDHA
U+0E93  ,ຓ  ,LAO LETTER PALI NNA
U+0E98  ,ຘ  ,LAO LETTER PALI DHA
U+0EA0  ,ຠ  ,LAO LETTER PALI BHA
U+0EA8  ,ຨ  ,LAO LETTER SANSKRIT SHA
U+0EA9  ,ຩ  ,LAO LETTER SANSKRIT SSA
U+0EAC  ,ຬ  ,LAO LETTER PALI LLA
U+0EBA  ,຺  ,LAO SIGN PALI VIRAMA

U+0FD5  ,࿕  ,RIGHT-FACING SVASTI SIGN
U+0FD6  ,࿖  ,LEFT-FACING SVASTI SIGN
U+0FD7  ,࿗  ,RIGHT-FACING SVASTI SIGN WITH DOTS
U+0FD8  ,࿘  ,LEFT-FACING SVASTI SIGN WITH DOTS

U+115F  ,ᅟ ,HANGUL CHOSEONG FILLER
U+1160  ,ᅠ   ,HANGUL JUNGSEONG FILLER

U+16F1  ,ᛱ  ,RUNIC LETTER K
U+16F2  ,ᛲ  ,RUNIC LETTER SH
U+16F3  ,ᛳ  ,RUNIC LETTER OO
U+16F4  ,ᛴ  ,RUNIC LETTER FRANKS CASKET OS
U+16F5  ,ᛵ  ,RUNIC LETTER FRANKS CASKET IS
U+16F6  ,ᛶ  ,RUNIC LETTER FRANKS CASKET EH
U+16F7  ,ᛷ  ,RUNIC LETTER FRANKS CASKET AC
U+16F8  ,ᛸ  ,RUNIC LETTER FRANKS CASKET AESC
U+1700  ,ᜀ  ,TAGALOG LETTER A
U+1701  ,ᜁ  ,TAGALOG LETTER I
U+1702  ,ᜂ  ,TAGALOG LETTER U
U+1703  ,ᜃ  ,TAGALOG LETTER KA
U+1704  ,ᜄ  ,TAGALOG LETTER GA
U+1705  ,ᜅ  ,TAGALOG LETTER NGA
U+1706  ,ᜆ  ,TAGALOG LETTER TA
U+1707  ,ᜇ  ,TAGALOG LETTER DA
U+1708  ,ᜈ  ,TAGALOG LETTER NA
U+1709  ,ᜉ  ,TAGALOG LETTER PA
U+170A  ,ᜊ  ,TAGALOG LETTER BA
U+170B  ,ᜋ  ,TAGALOG LETTER MA
U+170C  ,ᜌ  ,TAGALOG LETTER YA
U+170E  ,ᜎ  ,TAGALOG LETTER LA
U+170F  ,ᜏ  ,TAGALOG LETTER WA
U+1710  ,ᜐ  ,TAGALOG LETTER SA
U+1711  ,ᜑ  ,TAGALOG LETTER HA
U+1712  ,ᜒ   ,TAGALOG VOWEL SIGN I
U+1713  ,ᜓ   ,TAGALOG VOWEL SIGN U
U+1714  ,᜔   ,TAGALOG SIGN VIRAMA
U+1720  ,ᜠ  ,HANUNOO LETTER A
U+1721  ,ᜡ  ,HANUNOO LETTER I
U+1722  ,ᜢ  ,HANUNOO LETTER U
U+1723  ,ᜣ  ,HANUNOO LETTER KA
U+1724  ,ᜤ  ,HANUNOO LETTER GA
U+1725  ,ᜥ  ,HANUNOO LETTER NGA
U+1726  ,ᜦ  ,HANUNOO LETTER TA
U+1727  ,ᜧ  ,HANUNOO LETTER DA
U+1728  ,ᜨ  ,HANUNOO LETTER NA
U+1729  ,ᜩ  ,HANUNOO LETTER PA
U+172A  ,ᜪ  ,HANUNOO LETTER BA
U+172B  ,ᜫ  ,HANUNOO LETTER MA
U+172C  ,ᜬ  ,HANUNOO LETTER YA
U+172D  ,ᜭ  ,HANUNOO LETTER RA
U+172E  ,ᜮ  ,HANUNOO LETTER LA
U+172F  ,ᜯ  ,HANUNOO LETTER WA
U+1730  ,ᜰ  ,HANUNOO LETTER SA
U+1731  ,ᜱ  ,HANUNOO LETTER HA
U+1732  ,ᜲ   ,HANUNOO VOWEL SIGN I
U+1733  ,ᜳ   ,HANUNOO VOWEL SIGN U
U+1734  ,᜴   ,HANUNOO SIGN PAMUDPOD
U+1735  ,᜵  ,PHILIPPINE SINGLE PUNCTUATION
U+1736  ,᜶  ,PHILIPPINE DOUBLE PUNCTUATION
U+1740  ,ᝀ  ,BUHID LETTER A
U+1741  ,ᝁ  ,BUHID LETTER I
U+1742  ,ᝂ  ,BUHID LETTER U
U+1743  ,ᝃ  ,BUHID LETTER KA
U+1744  ,ᝄ  ,BUHID LETTER GA
U+1745  ,ᝅ  ,BUHID LETTER NGA
U+1746  ,ᝆ  ,BUHID LETTER TA
U+1747  ,ᝇ  ,BUHID LETTER DA
U+1748  ,ᝈ  ,BUHID LETTER NA
U+1749  ,ᝉ  ,BUHID LETTER PA
U+174A  ,ᝊ  ,BUHID LETTER BA
U+174B  ,ᝋ  ,BUHID LETTER MA
U+174C  ,ᝌ  ,BUHID LETTER YA
U+174D  ,ᝍ  ,BUHID LETTER RA
U+174E  ,ᝎ  ,BUHID LETTER LA
